Sebep Kod,Sebep Açıklama,Zorunlu Alan,Sebep Nevi
633,KADRO VE UNVAN DEĞİŞİKLİĞİ,Başlama Tarihi,5
634,"NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) KADRO, UNVAN DEĞİŞİKLİĞİ",Başlama Tarihi,5
635,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ) (SINAVI KAZANMAKLA),Başlama Tarihi,5
636,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI) (SINAVI KAZANMAKLA),Başlama Tarihi,5
637,ASLİ GÖREVİNE İADE,Başlama Tarihi,5
638,657 S.K. 36. MD. A BENDİNİN 1. VE 6-B FIKRASI (AV. STAJ VE HAZIRLIK SINIFI DEĞ.),Başlama Tarihi,5
639,GÖREVDEN UZAKLAŞTIRMA TEDBİRİ DEVAM EDERKEN GÖREVİNE SON VERİLDİ,Bitiş Tarihi,6
640,GÖREVDEN UZAK. TEDBİRİ DEVAM EDERKEN YÜKSEK DİSİPLİN KURULU KARARI GER. GÖREVİNE SON VERİLDİ,Bitiş Tarihi,6
641,GÖREVDEN UZAK. TEDBİRİ DEVAM EDERKEN 1402 S.K. GEREĞİNCE GÖREVİNE SON VERİLDİ,Bitiş Tarihi,6
642,1 İNCİ DERECEYE YÜKSELDİ (926 S.K. EK 24-25 MD.),Başlama Tarihi,5
643,ATSB. ÜST KARARGAH HİZMETLERİ EĞİTİMİ KIDEMİ (926 S.K. 83. MD.),Başlama Tarihi,5
644,AYİM KARARI İLE GÖREVE DÖNDÜ,Başlama Tarihi,1
645,ERKEN TERFİ (926 S.K. 85. MD.),Başlama Tarihi,5
646,ERKEN TERFİ (2 NCİ) (926 S.K. 85. MD.),Başlama Tarihi,5
647,ERKEN TERFİ (3 ÜNCÜ) (926 S.K. 85. MD.),Başlama Tarihi,5
648,II. KADEMELİLİK ( 926 S.K. 140. VE ASTSB. SİCİL YÖN. 76. MD.),Başlama Tarihi,5
649,İNTİBAK (2 YILLIK YÜKSEKOKUL 1 KADEME) (926 S.K. 137. MD.),Başlama Tarihi,5
650,İNTİBAK (3 YILLIK YÜKSEKOKUL 2 KADEME) (926 S.K. 137. MD.),Başlama Tarihi,5
651,İNTİBAK (4 YILLIK LİSANS TAMAMLAMA 1 KADEME) (926 S.K. 137. MD.),Başlama Tarihi,5
652,İNTİBAK (4 YILLIK LİSANS TAMAMLAMA 2 KADEME) (926 S.K. 137. MD.),Başlama Tarihi,5
653,İNTİBAK (4 YILLIK YÜKSEKOKUL 2 KADEME) (926 S.K. 137. MD.),Başlama Tarihi,5
654,İNTİBAK (4 YILLIK YÜKSEKOKUL 3 KADEME) (926 S.K. 137. MD.),Başlama Tarihi,5
655,KADEMELİLİK ( 926 S.K. 140. VE ASTSB. SİCİL YÖN. 76. MD.,Başlama Tarihi,5
656,KADEME İLERLEMESİ (926 S.K. 93. MD.),Başlama Tarihi,5
657,KADEME İLERLEMESİ YAPILAMADI (AYLIKSIZ İZİNDE) (926 S.K. 93. MD.),Başlama Tarihi,5
658,KADEME İLERLEMESİ YAPILAMADI (RÜTBE BEKLEME SÜRESİ UZADI)(926 S.K. 93. MD.),Başlama Tarihi,5
659,KADEME İLERLEMESİ YAPILAMADI (SİCİL NOTU %60'IN ALTINDA)(926 S.K. 93. MD.),Başlama Tarihi,5
660,KADEME İLERLEMESİ YAPILAMADI (SİCİLİ EKSİK) (926 S.K. 93. MD.),Başlama Tarihi,5
661,KADEME İLERLEMESİ YAPILAMADI(AÇIK/TUTUKLULUK/FİRAR) (926 S.K. 106. VE ASTSB. SİCİL YÖN. 41. MD.),Başlama Tarihi,5
662,KADEME İLERLEMESİ YAPILDI (AYİM KARARI)(926 S.K. 93. MD.),Başlama Tarihi,5
663,KIDEM İNDİRİMİ (926 S.K. 83. MD.),Başlama Tarihi,5
664,LEHE NASIP DÜZELTMESİ (AÇIK/TUTUKLULUK/FİRAR ENGELİ KALKTI)(926 S.K. 83. MD.),Başlama Tarihi,5
665,LEHE NASIP DÜZELTMESİ (ASKERLİK HİZMETİ)(926 S.K. 82. MD.),Başlama Tarihi,5
666,LEHE NASIP DÜZELTMESİ (AYİM KARARI),Başlama Tarihi,5
667,LEHE NASIP DÜZELTMESİ (SİCİL ŞARTINI SAĞLADI) (926 S.K. 85. MD.),Başlama Tarihi,5
668,LEHE NASIP DÜZELTMESİ (TERFİDE BARAJ) (926 S.K. 86. MD.),Başlama Tarihi,5
669,LEHE NASIP DÜZELTMESİ (UZMAN) (3269 S.K. 15. MD. (DEĞ. 1.FIK. KHK/460-16.9.1991),Başlama Tarihi,5
670,LEHE NASIP DÜZELTMESİ (YD.SB.) (926 S.K. 82. MD.),Başlama Tarihi,5
671,NASIP DÜZELTMESİ İPTALİ (926 S.K. 83. MD.),Başlama Tarihi,5
672,RÜTBE BEKLEME SÜRESİ KISALTMA (2 YILLIK YÜKSEKOKUL) (926 S.K. 79. MD.),Başlama Tarihi,5
673,RÜTBE BEKLEME SÜRESİ KISALTMA (3 YILLIK YÜKSEKOKUL) (926 S.K. 79. MD.),Başlama Tarihi,5
674,RÜTBE BEKLEME SÜRESİ KISALTMA (4 YILLIK LİSE) (926 S.K. 79. MD.),Başlama Tarihi,5
675,RÜTBE BEKLEME SÜRESİ KISALTMA (4 YILLIK YÜKSEKOKUL) (926 S.K. 79. MD.),Başlama Tarihi,5
676,RÜTBE KADEMELİLİĞİ İPTALİ (926 S.K. 106. VE ASTSB. SİCİL YÖN. 41. MD.),Başlama Tarihi,5
677,RÜTBE KADEMELİLİĞİ ONANMADI (AÇIK/TUTUKLULUK/FİRAR) (926 S.K. 106. VE ASTSB. SİCİL YÖN. 41. MD.),Başlama Tarihi,5
678,RÜTBE KADEMELİLİĞİ ONANMADI (DÜŞÜK YETERLİLİK) (926 S.K. 140. VE ASTSB. SİCİL YÖN. 76. MD.),Başlama Tarihi,5
679,RÜTBE KADEMELİLİĞİ ONANMADI (RÜTBE BEKLEME SÜRESİ UZADI) (926 S.K. 140. VE ASTSB. S. YÖN. 76. MD.),Başlama Tarihi,5
680,RÜTBE KADEMELİLİĞİ ONANMADI (SİCİLİ EKSİK) (926 S.K. 140. VE ASTSB. SİCİL YÖN. 76. MD.),Başlama Tarihi,5
681,YÜKSEK LİSANS (1 YIL KIDEM) (926 S.K. 83. MD.),Başlama Tarihi,5
682,YÜKSELEMEDİ (2/3 SİCİL ORANI NEDENİYLE)(926 S.K. 85. MD.),Başlama Tarihi,5
683,YÜKSELEMEDİ (AÇIK/TUTUKLULUK/FİRAR) (926 S.K. 106. VE ASTSB. SİCİL YÖN. 41. MD.),Başlama Tarihi,5
684,YÜKSELEMEDİ (DÜŞÜK YETERLİLİK) (926 S.K. 85. MD.),Başlama Tarihi,5
685,YÜKSELEMEDİ (KURS KAYBI) (926 S.K. 83. MD.),Başlama Tarihi,5
686,YÜKSELEMEDİ (RÜTBE BEKLEME SÜRESİ UZADI) (926 S.K. 83. MD.),Başlama Tarihi,5
687,YÜKSELEMEDİ (TERFİDE BARAJ NEDENİYLE) (926 S.K. 86. MD.),Başlama Tarihi,5
688,YÜKSELME İPTALİ(926 S.K. 106. VE ASTSB. SİCİL YÖN. 41. MD.),Başlama Tarihi,5
689,KIDEMLİLİK (SUBAY SİCİL YÖN. 81. MD.),Başlama Tarihi,5
690,KOMUTANLIK VE KARARGAH SUBAYLIĞI ÖĞRENİMİ KIDEMİ (926 S.K. 36. MD. VE SB. SC. YÖN. 116. MD),Başlama Tarihi,5
691,İNTİBAK (4 YILLIK YÜKSEKOKUL 2 KADEME) (926 S.K. EK GEÇİCİ 80. MD.),Başlama Tarihi,5
692,YÜKSELEMEDİ (AÇIK/TUTUKLULUK/FİRAR) (926 S.K. 65. VE ASTSB. SİCİL YÖN. 60. MD.),Başlama Tarihi,5
693,RÜTBE KIDEMİ ONANMADI (AÇIK/TUTUKLULUK/FİRAR) (926 S.K. 65. VE ASTSB. SİCİL YÖN. 82. MD.),Başlama Tarihi,5
694,KADEME İLERLEMESİ YAPILAMADI(AÇIK/TUTUKLULUK/FİRAR) (926 S.K. 65. VE ASTSB. SİCİL YÖN. 73. MD.),Başlama Tarihi,5
695,RÜTBE KIDEMİ ONANMADI (SİCİLİ EKSİK) (926 S.K. 140. VE ASTSB. SİCİL YÖN. 81. MD.),Başlama Tarihi,5
696,"RÜTBE KIDEMİ ONANMADI(RÜTBE BEKLEME SÜRESİ UZADI)(926 S.K. 27.30.36. VE SB. MES. PR. YÖN. 20,29.MD.)",Başlama Tarihi,5
697,RÜTBE KIDEMİ ONANMADI (SÖZLEŞME YENİLENMEDİ) (4678 S.K. 12-13. MD.),Bitiş Tarihi,2
698,YÜKSELEMEDİ (KURS KAYBI) (926 S.K. 36. VE SB. MES. PR. YÖN. 29. MD.),Başlama Tarihi,5
699,RÜTBE KIDEMİ ONANMADI (DÜŞÜK YETERLİLİK)(926 S.K. 140. VE SB. MES. PR. YÖN. 81. MD.),Başlama Tarihi,5
700,"KADEME İLERLEMESİ YAPILAMADI (SİCİL NOTU %60'IN ALTINDA)(926 S.K. 45. VE SB. SC. YÖN. 30,70. MD.)",Başlama Tarihi,5
701,KADEME İLERLEMESİ YAPILAMADI (SİCİLİ EKSİK) (926 S.K. 45. VE SB. SC. YÖN. 72. MD.),Başlama Tarihi,5
702,"KADEME İLERLEMESİ YAPILAMADI(RÜTBE BEKLEME SÜRESİ UZADI)(926 S.K. 27,30,45. VE SB. SC. YÖN. 72.MD.)",Başlama Tarihi,5
703,KADEME İLERLEMESİ (926 S.K. 45. VE SB. SC. YÖN. 68. MD.),Başlama Tarihi,5
704,ERKEN TERFİ (926 S.K. 38. MD.),Başlama Tarihi,5
705,ERKEN TERFİ (2 NCİ) (926 S.K. 38. MD.),Başlama Tarihi,5
706,ERKEN TERFİ (3 NCÜ) (926 S.K. 38. MD.),Başlama Tarihi,5
707,KADEME İLERLEMESİ YAPILAMADI (AYLIKSIZ İZİNDE) (926 S.K. EK 20. MD.),Başlama Tarihi,5
708,1 NCİ SINIFA AYRILMIŞ ASKERİ HAKİM (357 S.AS. HAK. K. 15. MD.),Başlama Tarihi,5
709,KIDEM İNDİRİMİ (926 S.K. 36. MD.),Başlama Tarihi,5
710,KURMAY TASDİK (1 YIL KIDEM)(926 S.K. 36. MD. VE SB SİC. YÖN. 116. MD.),Başlama Tarihi,5
711,KURMAY TASDİK (2 YIL KIDEM) (926 S.K. 36. MD. VE SB SİC. YÖN. 116. MD.),Başlama Tarihi,5
712,SİLAHLI KUVVETLER AKADEMİSİ KIDEMİ (926 S.K. 36. MD. VE SB SİC. YÖN. 116. MD.),Başlama Tarihi,5
713,YÜKSELEMEDİ (2/3 SİCİL ORANI NEDENİYLE) (926 S.K. 38. MD.),Başlama Tarihi,5
714,"RÜTBE BEKLEME SÜRESİ KISALTMA (5 YILLIK YÜKSEKOKUL)(926 S.K. 31,64. VE SB. SC. YÖN. 117. MD.)",Başlama Tarihi,5
715,"RÜTBE BEKLEME SÜRESİ KISALTMA (6 YILLIK YÜKSEKOKUL)(926 S.K. 31,64. VE SB. SC. YÖN. 117. MD.)",Başlama Tarihi,5
716,YÜKSELEMEDİ (ÖĞRENİM KAYBI)(926 S.K. 36. VE SB. MS.PR. YÖN. 29. MD.),Başlama Tarihi,5
717,YÜKSELEMEDİ (SÖZLEŞME YENİLENMEDİ) (4678 S.K. 12-13. MD),Bitiş Tarihi,2
718,YÜKSELEMEDİ (DÜŞÜK YETERLİLİK) (926 S.K. 38. MD.),Başlama Tarihi,5
719,YÜKSELEMEDİ (TERFİDE BARAJ NEDENİYLE) (926 S.K. 39. MD.),Başlama Tarihi,5
720,YÜKSELEMEDİ (RÜTBE BEKLEME SÜRESİ UZADI) (926 S.K. 27.-38. VE EK 20. MD.),Başlama Tarihi,5
721,TIPTA UZMANLIK (2 YIL KD.) (926 S.K. 36. MD. VE SB SİC. YÖN. 116. MD.),Başlama Tarihi,5
722,LEHE NASIP DÜZELTMESİ (YD.SB.)(926 S.K. 35. MD.),Başlama Tarihi,5
723,LEHE NASIP DÜZELTMESİ (AÇIK/TUTUKLULUK/FİRAR ENGELİ KALKTI)(926 S.K. 65. MD.),Başlama Tarihi,5
724,LEHE NASIP DÜZELTMESİ (SİCİL ŞARTINI SAĞLADI)(926 S.K. 45. MD.SB. SC. YÖN. 74. MD. ),Başlama Tarihi,5
725,LEHE NASIP DÜZELTMESİ (TERFİDE BARAJ)(926 S.K. 39. MD.),Başlama Tarihi,5
726,LEHE NASIP DÜZELTMESİ (ASKERLİK HİZMETİ)(926 S.K. 35. MD.),Başlama Tarihi,5
727,DOÇENT (1 YIL KD.) (926 S.K. 36. MD. VE SB SİC. YÖN. 116. MD.),Başlama Tarihi,5
728,YÜKSEK LİSANS (1 YIL KD.) (926 S.K. 36. MD. VE SB SİC. YÖN. 116. MD.),Başlama Tarihi,5
729,DOKTORA (1 YIL KD.) (926 S.K. 36. MD. VE SB SİC. YÖN. 116. MD.),Başlama Tarihi,5
730,DOKTORA (2 YIL KD.) (926 S.K. 36. MD. VE SB SİC. YÖN. 116. MD.),Başlama Tarihi,5
731,İLAVE LİS.ÜST.ÖĞ.1 YIL KD.(Y.LİSANS) (926 S.K. 36. MD. VE SB SİC. YÖN. 116. MD.)(17.11.2007 ÖNCESİ),Başlama Tarihi,5
732,İLAVE LİS.ÜST.ÖĞ.1 YIL KD.(DOKTORA)(926 S.K. 36. MD. VE SB SİC. YÖN. 116. MD.)(17.11.2007 ÖNCESİ),Başlama Tarihi,5
733,İLAVE LİS.ÜST.ÖĞ.1 YIL KD.(DOÇENT)(926 S.K. 36. MD. VE SB SİC. YÖN. 116. MD.)(17.11.2007 ÖNCESİ),Başlama Tarihi,5
734,İLAVE LİS.ÜST.ÖĞ.1 YIL KD.(YANDAL UZM.)(926 S.K. 36. MD. VE SB SİC. YÖN. 116. MD. 17.11.2007 ÖNCESİ),Başlama Tarihi,5
735,YÜKSELME İPTALİ (926 S.K. 38 VE 65. MD),Başlama Tarihi,5
736,RÜTBE KIDEMLİLİĞİ İPTALİ(926 S.K. 65. MD. VE SB SİC. YÖN. 81-82-83. MD.),Başlama Tarihi,5
737,İNTİBAK (2 YILLIK YÜKSEKOKUL 1 KADEME) (926 S.K. EK GEÇ. 80. MD.),Başlama Tarihi,5
738,İNTİBAK (3 YILLIK YÜKSEKOKUL 2 KADEME) (926 S.K. EK GEÇ. 80. MD.),Başlama Tarihi,5
739,İNTİBAK (4 YILLIK YÜKSEKOKUL 3 KADEME) (926 S.K. EK GEÇ. 80. MD.),Başlama Tarihi,5
740,İNTİBAK (4 YILLIK LİSANS TAMAMLAMA 1 KADEME) (926 S.K. EK GEÇ. 80. MD.),Başlama Tarihi,5
741,İNTİBAK (4 YILLIK LİSANS TAMAMLAMA 2 KADEME) (926 S.K. EK GEÇ. 80. MD.),Başlama Tarihi,5
742,İNTİBAK (SUBAYLIĞA GEÇİŞ 1 KADEME)(926 S.K. 109. MD. VE SB SİC. YÖN. 80. MD.),Başlama Tarihi,5
743,NASIP DÜZELTMESİ İPTALİ (926 S.K. 36. MD),Başlama Tarihi,5
744,1/3 BEKLEME SÜRESİ (926 S.K. 38. MD),Başlama Tarihi,5
745,LEHE NASIP DÜZELTMESİ (1/3 BEKLEME SÜRESİ) (926 S.K. 31-35 VE 64. MD),Başlama Tarihi,5
746,KADEME İLERLEMESİ YAPILAMADI (SÖZLEŞME YENİLENMEDİ)(4678 S.K. 12-13. MD.),Bitiş Tarihi,2
747,"YÜKSELEMEDİ (İNFAZ, İLK 30 AĞUSTOS) (926 S.K. 36 VE 65. MD. VE SB SİC. YÖN. 62. MD.)",Başlama Tarihi,5
748,"RÜTBE KIDEMİ ONANMADI (İNFAZ, İLK 30 AĞUSTOS)(926 S.K. 36 VE 65. MD. VE SB SİC. YÖN. 62. MD.)",Başlama Tarihi,5
749,657 S.K. 125-E (DEVLET MEMURLUĞUNDAN ÇIKARILMA),Bitiş Tarihi,2
750,657 S.K. 57 (ADAYLIK SÜRESİ SONUNDA BAŞARISIZLIK),Bitiş Tarihi,2
751,657 S.K. 94 (ÇEKİLME-25 YIL ÜSTÜ),Bitiş Tarihi,2
752,EMEKLİLİK (AÇIKTAN MAHKEME KARARI TSK'DAN ÇIKARMA)(5434 39/E FIK.),Bitiş Tarihi,2
753,EMEKLİLİK (AÇIKTAN RESEN),Bitiş Tarihi,2
754,EMEKLİLİK (ANAYASA MAHKEMESİ ASİL ÜYE SEÇİMİ) 2949 S.K. 4.VE 15. MD),Bitiş Tarihi,6
755,EMEKLİLİK (KADROSUZLUK TAZMİNATINA HAK KAZANAN) (TSK. PER. K. 8 VE 926 GEÇ 30. MD),Bitiş Tarihi,2
756,EMEKLİLİK (KADROSUZLUK) (926 S.K. 50/A MD.),Bitiş Tarihi,2
757,EMEKLİLİK (SEÇİM-MAHALLİ İDARELER) (926 S.K. 8. MD.),Bitiş Tarihi,2
758,EMEKLİLİK (SEÇİM-MİLLETVEKİLİ) (926 S.K. 8. MD.),Bitiş Tarihi,2
759,EMEKLİLİK (YETERSİZLİK) (926 S.K. 50/B VE 94/A FIK.),Bitiş Tarihi,2
760,EMEKLİLİK (SEÇİM MAHALLİ İDARELER KADROSUZLUK) (926 S.K. 8. VE GEÇ. 30. MD.),Bitiş Tarihi,2
761,EMEKLİLİK (SEÇİM MİLLETVEKİLİ KADROSUZLUK) (926 S.K. 8. VE GEÇ. 30. MD.),Bitiş Tarihi,2
762,EMEKLİLİK YETERSİZLİK/HAKİM (926 S.K. 50/B FIK.),Bitiş Tarihi,2
763,İSTİFA (25 YIL ÜSTÜ) (926 S.K. 116. MD.),Bitiş Tarihi,2
764,İSTİFA (İSTEK) (926 S.K. 116. MD.),Bitiş Tarihi,2
765,İSTİFA (DENEME SONU-926/14),Bitiş Tarihi,2
766,İSTİFA (DENEME SONU 926/14 HAKİM),Bitiş Tarihi,2
767,İSTİFA (DENEME SONU-926/68),Bitiş Tarihi,2
768,İSTİFA (RESEN) (926 S.K. 68. MD.),Bitiş Tarihi,2
769,İSTİFA (SEÇİM-MAHALLİ İDARELER 25 YIL ÜSTÜ) (926 S.K. 116. MD),Bitiş Tarihi,2
770,İSTİFA (SEÇİM-MAHALLİ İDARELER) (926 S.K. 116. MD),Bitiş Tarihi,2
771,İSTİFA (SEÇİM-MİLLETVEKİLİ 25 YIL ÜSTÜ) (926 S.K. 116. MD),Bitiş Tarihi,2
772,İSTİFA (SEÇİM-MİLLETVEKİLİ) (926 S.K. 116. MD),Bitiş Tarihi,2
773,İSTİFA (YABANCI UYRUKLU İLE EVLİLİK) (926 S.K. 112/A . FIK.),Bitiş Tarihi,2
774,K.K.K. KARARI (DİSİPLİNSİZ/HAKİM) (926 S.K. 50/C FIK.),Bitiş Tarihi,2
775,K.K.K. KARARI (DİSİPLİNSİZ) (926 S.K. 50/C FIK.),Bitiş Tarihi,2
776,K.K.K. KARARI (FİRAR) (926 S.K. 50/C FIK.),Bitiş Tarihi,2
777,MAHKEME KARARI (TSKDAN ÇIKARMA BELİRTİLMEMİŞ) (1632 S.K. 30. MD. VE 5510 44.MD 2. FIK),Bitiş Tarihi,2
778,MAHKEME KARARI (TSKDAN ÇIKARMA BELİRTİLMEMİŞ/HAKİM)(1632 S.K. 30. MD. VE 5510 44.MD 2. FIK),Bitiş Tarihi,2
779,MAHKEME KARARI (TSK'DAN ÇIKARMA BELİRTİLMİŞ)(1632 S.K. 30. MD. VE 5510 44.MD 2. FIK),Bitiş Tarihi,2
780,MAHKEME KARARI (TSKDAN ÇIKARMA BELİRTİLMİŞ/HAKİM)(1632 S.K. 30. MD. VE 5510 44.MD 2. FIK),Bitiş Tarihi,2
781,EMEKLİLİK (MALUL 5510 S.K VAZİFE 1'İNCİ DERECE SINIFI GÖREVİ YAPAMAZ) (5510 S.K. 47. MD.),Bitiş Tarihi,2
782,MALUL (5510 S.K VAZİFE 1'İNCİ DERECE TSK'DA GÖREV YAPAMAZ) (5510 S.K. 47. MD.),Bitiş Tarihi,2
783,MALUL (5510 S.K.VAZİFE 2'NCİ DERECE SINIFI GÖREVİ YAPAMAZ) (5510 S.K. 47. MD.),Bitiş Tarihi,2
784,MALUL (5510 S.K.VAZİFE 2'NCİ DERECE TSK'DA GÖREV YAPAMAZ) (5510 S.K. 47. MD.),Bitiş Tarihi,2
785,MALUL (5510 S.K.VAZİFE 3'ÜNCÜ DERECE SINIFI GÖREVİ YAPAMAZ) (5510 S.K. 47. MD.),Bitiş Tarihi,2
786,MALUL (5510 S.K.VAZİFE 3'ÜNCÜ DERECE TSK'DA GÖREV YAPAMAZ) (5510 S.K. 47. MD.),Bitiş Tarihi,2
787,MALUL (5510 S.K.VAZİFE 4'ÜNCÜ DERECE TSK'DA GÖREV YAPAMAZ) (5510 S.K. 47. MD.),Bitiş Tarihi,2
788,MALUL (5510 S.K.VAZİFE 5'İNCİ DERECE TSK'DA GÖREV YAPAMAZ) (5510 S.K. 47. MD.),Bitiş Tarihi,2
789,MALUL (5510 S.K.VAZİFE 6'NCI DERECE TSK'DA GÖREV YAPAMAZ) (5510 S.K. 47. MD.),Bitiş Tarihi,2
790,MALUL (ASKERLİĞE ELVERİŞLİ DEĞİLDİR) (5434 S.K. 44. MD.),Bitiş Tarihi,2
791,MALUL (HARP MALÜLÜ-TSK'DA GÖREV YAPAMAZ) (5434 S.K. 64. MD.),Bitiş Tarihi,2
792,MALUL (SINIFI GÖREVİ YAPAMAZ) (5434 S.K. 44. MD.),Bitiş Tarihi,2
793,MALUL (TSK'DA GÖREV YAPAMAZ) (5434 S.K. 44. MD.),Bitiş Tarihi,2
794,MALUL (VAZİFE 1'İNCİ DERECE SINIFI GÖREVİ YAPAMAZ) (5434 S.K. 45. MD.),Bitiş Tarihi,2
795,MALUL (VAZİFE 1'İNCİ DERECE TSK'DA GÖREV YAPAMAZ)(5434 S.K. 45. MD.),Bitiş Tarihi,2
796,MALUL (VAZİFE 2'NCİ DERECE SINIFI GÖREVİ YAPAMAZ)(5434 S.K. 45. MD.),Bitiş Tarihi,2
797,MALUL (VAZİFE 2'NCİ DERECE TSK'DA GÖREV YAPAMAZ)(5434 S.K. 45. MD.),Bitiş Tarihi,2
798,MALUL (VAZİFE 3'ÜNCÜ DERECE SINIFI GÖREVİ YAPAMAZ)(5434 S.K. 45. MD.),Bitiş Tarihi,2
799,MALUL (VAZİFE 3'ÜNCÜ DERECE TSK'DA GÖREV YAPAMAZ)(5434 S.K. 45. MD.),Bitiş Tarihi,2
800,MALUL (VAZİFE 4'ÜNCÜ DERECE SINIFI GÖREVİ YAPAMAZ)(5434 S.K. 45. MD.),Bitiş Tarihi,2
801,MALUL (VAZİFE 4'ÜNCÜ DERECE TSK'DA GÖREV YAPAMAZ)(5434 S.K. 45. MD.),Bitiş Tarihi,2
802,MALUL (VAZİFE 5'İNCİ DERECE SINIFI GÖREVİ YAPAMAZ)(5434 S.K. 45. MD.),Bitiş Tarihi,2
803,MALUL (VAZİFE 5'İNCİ DERECE TSK'DA GÖREV YAPAMAZ) (5434 S.K. 45. MD.),Bitiş Tarihi,2
804,MALUL (VAZİFE 6'NCI DERECE SINIFI GÖREVİ YAPAMAZ)(5434 S.K. 45. MD.),Bitiş Tarihi,2
805,MALUL (VAZİFE 6'NCI DERECE TSK'DA GÖREV YAPAMAZ)(5434 S.K. 45. MD.),Bitiş Tarihi,2
806,MALUL (VAZİFE-ASKERLİĞE ELVERİŞLİ DEĞİLDİR) (5434 S.K. 45. MD.),Bitiş Tarihi,2
807,SAĞLIK (3713 SAYILI KANUN GÖREVDEN AYRILMADAN) (5510 S.K. GEÇ.14. MD.),Bitiş Tarihi,6
808,SAĞLIK NEDENİYLE AYIRMA (TSK'DA GÖREV YAPAMAZ) (926 S.K. 128/C FIK.),Bitiş Tarihi,2
809,SÖZLEŞME FESHİ (1 YILDA DİSİPLİN MAH.EN 30 GÜNDEN FAZLA CEZA)(4678 S.K. 13. MD. ),Bitiş Tarihi,2
810,SÖZLEŞME FESHİ (25 YIL ÜSTÜ) (4678 S.K. 12/2. FIK.),Bitiş Tarihi,2
811,SÖZLEŞME FESHİ (DİSİPLİNSİZLİK) (926 S.K. 50/C FIK.VE 4678 S.K. 13. MD.),Bitiş Tarihi,2
812,SÖZLEŞME FESHİ (MAH. KARARI-TSK'DAN ÇIKARMA)(1632S.K. 30.MD. VE 4678 S.K. 13. MD.),Bitiş Tarihi,2
813,SÖZLEŞME FESHİ (SAĞLIK-1 YILDA 3 AYDAN FAZLA HAVA DEĞİŞİMİ) (4678 S.K. 13. MD.),Bitiş Tarihi,2
814,SÖZLEŞME FESHİ (SAĞLIK-SINIFI GÖREVİ YAPAMAZ) (4678 S.K. 13. MD.),Bitiş Tarihi,2
815,SÖZLEŞME FESHİ (SAĞLIK-TSK'DA GÖREV YAPAMAZ)(4678 S.K. 13. MD.),Bitiş Tarihi,2
816,SÖZLEŞME FESHİ (SINIF OKULUNDA EĞİTİM VE ÖĞRETİMDE BAŞARISIZLIK)(4678 S.K. 13. MD.),Bitiş Tarihi,2
817,SÖZLEŞME FESHİ (SÖZLEŞMELİ PERSONEL OLMA ŞARTINI KAYBETME)(4678 S.K. 13. MD.),Bitiş Tarihi,2
818,SÖZLEŞME FESHİ (TSK'DAN ÇIKARILMAYI GEREKTİREN MAHKUMİYET)(4678 S.K. 13. MD.),Bitiş Tarihi,2
819,SÖZLEŞME FESHİ (TÜRK VATANDAŞLIĞINDAN ÇIKARILMA/KAYBETME)(4678 S.K. 13. MD.),Bitiş Tarihi,2
820,SÖZLEŞME FESHİ (YABANCI UYRUKLU İLE EVLİLİK)(4678 S.K. 13. MD.),Bitiş Tarihi,2
821,"SÖZLEŞME FESHİ (YAŞ HADDİ) (5434 S.K. 39/C, 40 VE 105. MD.)",Bitiş Tarihi,2
822,SÖZLEŞME FESHİ (YAŞ KARARI-DİSİPLİNSİZ) (926 S.K. 50/C FIK. VE 4678 S.K. 13. MD.),Bitiş Tarihi,2
823,SÖZLEŞME FESHİ (YAŞ KARARI-FİRAR) (926 S.K. 50/C VE 94/B FIK. VE 4678 S.K. 13. MD.),Bitiş Tarihi,2
824,SÖZLEŞME FESHİ (YAŞ KARARI-İRTİCA) (926 S.K. 50/C FIK. VE 4678 S.K. 13. MD.),Bitiş Tarihi,2
825,SÖZLEŞME FESHİ (YAŞ KARARI-YIKICI/BÖLÜCÜ) (926 S.K. 50/C FIK. VE 4678 S.K. 13. MD.),Bitiş Tarihi,2
826,SÖZLEŞME FESHİ (YENİLEMEME-İDARE) (4678 S.K. 12/2. FIK. VE 24738 S. YÖN. 14.MD.),Bitiş Tarihi,2
827,SÖZLEŞME FESHİ (YENİLEMEME-ŞAHIS) (4678 S.K. 12/2. FIK. ),Bitiş Tarihi,2
828,SÖZLEŞME FESHİ (YETERSİZLİK) (4678 S.K. 13. MD.),Bitiş Tarihi,2
829,SÖZLEŞME FESHİ (YIKICI/BÖLÜCÜ FAALİYET) (926 S.K. 50/C VE 94/B FIK. VE 4678 S.K. 13. MD.),Bitiş Tarihi,2
830,VEFAT (3713 SAYILI KANUN),Bitiş Tarihi,2
831,VEFAT (GAZİ),Bitiş Tarihi,2
832,VEFAT (KAZA),Bitiş Tarihi,2
833,VEFAT (TRAFİK KAZASI),Bitiş Tarihi,2
834,"YAŞ KARARI (DİSİPLİNSİZ) (926 50/C-94/B, 5434 S.K. 39/E FIK. VE 5510 44/2. FIK)",Bitiş Tarihi,2
835,"YAŞ KARARI (FİRAR) (926 50/C-94/B, 5434 S.K. 39/E FIK. VE 5510 44/2. FIK)",Bitiş Tarihi,2
